entropy_level,domain,prompt
1,"creative","Write a 500-word story:"
2,"creative","Write a 500-word story that takes place in Paris:"
3,"creative","Write a 500-word story about Evan, who falls for Emilie in Paris:"
4,"creative","Write a 500-word story about Evan, an American tourist, who falls for Emilie, a barista, in Paris:"
5,"creative","Write a 500-word story about Evan, an American tourist, who falls for Emilie, a barista, during a spring festival in Paris:"
6,"creative","Write a 500-word story about Evan, an American tourist, who falls for Emilie, a barista, during a spring festival in Paris. They bond over their love for art and architecture, leading to walks along the Seine:"
7,"creative","Write a 500-word story about Evan, an American tourist, who falls for Emilie, a barista, during a spring festival in Paris. They bond over their love for Claude Monet's art and the city's architecture, leading to walks along the Seine:"
8,"creative","Write a 500-word story about Evan, an American tourist, who falls for Emilie, a barista, during a spring festival in Paris. They bond over their love for Claude Monet's 'Impression, Sunrise' and the Hotel de Sully's architecture, leading to walks along the Seine:"
9,"creative","Write a 500-word story about Evan, an American tourist, who falls for Emilie, a barista, during a spring festival in Paris. They bond over their love for Claude Monet's 'Impression, Sunrise' and the Hotel de Sully's architecture, leading to walks along the Seine. Their connection deepens amid shared laughter and explorations of Le Marais:"
10,"creative","Write a 500-word story about Evan, an American tourist, who falls for Emilie, a barista, during a spring festival in Paris. They bond over their love for Claude Monet's 'Impression, Sunrise' and the Hotel de Sully's architecture, leading to walks along the Seine. Their connection deepens amid shared laughter and explorations of Le Marais. As the festival lights dance on the river, Evan shares his feelings with Emilie under the starlit sky, promising to cherish the moments they've shared:"
1,"education","Write a 500-word essay about the importance of space exploration:"
2,"education","Write a 500-word essay about the importance of space exploration and its role in advancing human knowledge:"
3,"education","Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges:"
4,"education","Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges like climate change and resource scarcity:"
5,"education","Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges like climate change and resource scarcity, with a focus on technologies developed for space missions:"
6,"education","Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges like climate change and resource scarcity, with a focus on technologies developed for space missions and their applications on Earth:"
7,"education","Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges like climate change and resource scarcity, with a focus on technologies developed for space missions, their applications on Earth, and the possibility of colonizing other planets:"
8,"education","Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges like climate change and resource scarcity, with a focus on technologies developed for space missions, their applications on Earth, and the possibility of colonizing other planets like Mars:"
9,"education","Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges like climate change and resource scarcity, with a focus on technologies developed for space missions, their applications on Earth, the possibility of colonizing other planets like Mars, and the ethical considerations of interplanetary exploration:"
10,"education","Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges like climate change and resource scarcity, with a focus on technologies developed for space missions, their applications on Earth, the possibility of colonizing other planets like Mars, the ethical considerations of interplanetary exploration, and the cultural significance of humanity becoming an interstellar species:"
1,"journalism","Write a 500-word news article:"
2,"journalism","Write a 500-word news article about a global climate summit:"
3,"journalism","Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change:"
4,"journalism","Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change, with a focus on renewable energy investments and carbon reduction targets:"
5,"journalism","Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change, with a focus on renewable energy investments and carbon reduction targets, highlighting a groundbreaking agreement between the US and China:"
6,"journalism","Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change, with a focus on renewable energy investments and carbon reduction targets, highlighting a groundbreaking agreement between the US and China, and featuring perspectives from small island nations affected by rising sea levels:"
7,"journalism","Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change, with a focus on renewable energy investments and carbon reduction targets, highlighting a groundbreaking agreement between the US and China, featuring perspectives from small island nations affected by rising sea levels, and addressing protests outside the summit calling for stronger climate justice measures:"
8,"journalism","Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change, with a focus on renewable energy investments and carbon reduction targets, highlighting a groundbreaking agreement between the US and China, featuring perspectives from small island nations affected by rising sea levels, addressing protests outside the summit calling for stronger climate justice measures, and covering a controversial speech by a major oil industry representative:"
9,"journalism","Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change, with a focus on renewable energy investments and carbon reduction targets, highlighting a groundbreaking agreement between the US and China, featuring perspectives from small island nations affected by rising sea levels, addressing protests outside the summit calling for stronger climate justice measures, covering a controversial speech by a major oil industry representative, and analyzing the summit's key outcomes and challenges:"
10,"journalism","Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change, with a focus on renewable energy investments and carbon reduction targets, highlighting a groundbreaking agreement between the US and China, featuring perspectives from small island nations affected by rising sea levels, addressing protests outside the summit calling for stronger climate justice measures, covering a controversial speech by a major oil industry representative, analyzing the summit's key outcomes and challenges, and placing it in the broader context of international efforts to achieve net-zero emissions by 2050:"
