prompt,Adaptive | Document1StepMutator,Adaptive | Document2StepMutator,Adaptive | SentenceMutator,Adaptive | SpanMutator,Adaptive | WordMutator,KGW | Document1StepMutator,KGW | DocumentMutator,KGW | SentenceMutator,KGW | SpanMutator,KGW | WordMutator,SIR | Document1StepMutator,SIR | Document2StepMutator,SIR | DocumentMutator,SIR | EntropyWordMutator,SIR | SentenceMutator,SIR | SpanMutator,SIR | WordMutator
Write a 500-word essay about the importance of space exploration and its role in advancing human knowledge:,0.724,0.843,,0.779,0.765,0.871,0.967,0.76,0.723,0.74,1.0,0.972,0.956,0.943,0.789,0.901,0.898
"Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges like climate change and resource scarcity, with a focus on technologies developed for space missions and their applications on Earth:",0.691,0.816,0.631,0.755,0.613,0.717,1.0,0.676,0.695,0.631,0.953,0.891,0.919,0.939,0.784,0.871,0.899
"Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges like climate change and resource scarcity, with a focus on technologies developed for space missions, their applications on Earth, and the possibility of colonizing other planets like Mars:",0.69,0.902,0.689,0.697,0.708,0.845,,0.722,0.774,0.789,0.972,0.98,0.903,0.926,0.812,0.858,0.917
"Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges like climate change and resource scarcity, with a focus on technologies developed for space missions, their applications on Earth, and the possibility of colonizing other planets:",0.599,0.767,0.674,0.729,0.649,0.831,,0.659,0.687,0.74,0.989,0.994,0.887,0.912,0.824,0.814,0.876
"Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges like climate change and resource scarcity, with a focus on technologies developed for space missions, their applications on Earth, the possibility of colonizing other planets like Mars, and the ethical considerations of interplanetary exploration:",0.73,0.774,0.504,0.619,0.651,0.827,,0.634,0.775,0.761,0.959,0.873,0.899,0.685,0.872,0.797,0.858
"Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges like climate change and resource scarcity, with a focus on technologies developed for space missions, their applications on Earth, the possibility of colonizing other planets like Mars, the ethical considerations of interplanetary exploration, and the cultural significance of humanity becoming an interstellar species:",0.698,0.925,0.585,0.636,0.707,0.793,,0.672,0.709,0.735,0.996,0.951,0.856,0.869,0.822,0.697,0.847
"Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges like climate change and resource scarcity, with a focus on technologies developed for space missions:",0.793,0.877,0.712,0.687,0.7,0.611,0.762,0.604,0.519,0.658,0.984,0.948,0.872,0.941,0.707,0.867,0.887
"Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges like climate change and resource scarcity:",0.706,0.874,0.527,0.687,0.709,0.862,0.932,0.756,0.733,0.797,1.0,0.958,0.961,0.922,0.797,0.855,0.904
"Write a 500-word essay about the importance of space exploration, its role in advancing human knowledge, and its potential to address global challenges:",0.722,0.953,,0.71,0.672,0.822,0.836,0.78,0.838,0.794,0.985,0.966,0.975,0.942,0.816,0.888,0.901
Write a 500-word essay about the importance of space exploration:,0.574,0.943,,0.584,0.545,0.875,0.747,0.526,0.461,0.49,0.961,0.859,0.839,0.923,0.724,0.87,0.914
"Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change, with a focus on renewable energy investments and carbon reduction targets, highlighting a groundbreaking agreement between the US and China, and featuring perspectives from small island nations affected by rising sea levels:",0.791,0.945,0.739,0.758,0.782,0.864,,0.838,0.866,0.866,1.0,0.92,0.922,0.972,0.874,0.883,0.923
"Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change, with a focus on renewable energy investments and carbon reduction targets, highlighting a groundbreaking agreement between the US and China, featuring perspectives from small island nations affected by rising sea levels, addressing protests outside the summit calling for stronger climate justice measures, and covering a controversial speech by a major oil industry representative:",0.773,0.892,0.804,0.773,0.818,0.84,,0.817,0.82,0.843,0.999,0.983,0.963,0.96,0.902,0.936,0.91
"Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change, with a focus on renewable energy investments and carbon reduction targets, highlighting a groundbreaking agreement between the US and China, featuring perspectives from small island nations affected by rising sea levels, addressing protests outside the summit calling for stronger climate justice measures, covering a controversial speech by a major oil industry representative, analyzing the summit's key outcomes and challenges, and placing it in the broader context of international efforts to achieve net-zero emissions by 2050:",0.781,0.94,0.734,0.761,0.796,0.851,,0.829,0.792,0.806,0.995,0.964,1.0,0.978,0.91,0.928,0.914
"Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change, with a focus on renewable energy investments and carbon reduction targets, highlighting a groundbreaking agreement between the US and China, featuring perspectives from small island nations affected by rising sea levels, addressing protests outside the summit calling for stronger climate justice measures, covering a controversial speech by a major oil industry representative, and analyzing the summit's key outcomes and challenges:",0.826,0.927,0.811,0.796,0.815,0.865,,0.817,0.813,0.806,0.994,0.963,0.909,0.976,0.914,0.892,0.937
"Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change, with a focus on renewable energy investments and carbon reduction targets, highlighting a groundbreaking agreement between the US and China, featuring perspectives from small island nations affected by rising sea levels, and addressing protests outside the summit calling for stronger climate justice measures:",0.829,0.904,0.849,0.78,0.81,0.878,,0.834,0.855,0.871,0.993,0.948,0.979,0.972,0.9,0.937,0.935
"Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change, with a focus on renewable energy investments and carbon reduction targets, highlighting a groundbreaking agreement between the US and China:",0.772,0.948,0.763,0.782,0.818,0.854,,0.781,0.818,0.774,0.981,0.979,0.872,0.972,0.92,0.943,0.965
"Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change, with a focus on renewable energy investments and carbon reduction targets:",0.713,0.869,0.775,0.717,0.777,0.83,,0.845,0.842,0.822,0.986,0.956,0.922,0.971,0.89,0.911,0.922
Write a 500-word news article about a global climate summit where world leaders are discussing strategies to combat climate change:,0.737,0.883,0.75,0.722,0.769,0.813,,0.783,0.797,0.786,0.992,0.966,0.857,0.965,0.887,0.929,0.953
Write a 500-word news article about a global climate summit:,0.532,0.867,0.553,0.561,0.607,0.735,,0.592,0.609,0.569,0.992,0.971,0.899,0.973,0.903,0.946,0.945
Write a 500-word news article:,0.411,0.925,0.4,0.377,0.388,0.557,,0.213,0.173,0.233,0.983,0.982,0.883,0.961,0.924,0.892,0.913
"Write a 500-word story about Evan, an American tourist, who falls for Emilie, a barista, during a spring festival in Paris. They bond over their love for Claude Monet's 'Impression, Sunrise' and the Hotel de Sully's architecture, leading to walks along the Seine. Their connection deepens amid shared laughter and explorations of Le Marais. As the festival lights dance on the river, Evan shares his feelings with Emilie under the starlit sky, promising to cherish the moments they've shared:",0.639,0.924,,0.696,0.684,0.76,0.834,0.827,0.831,0.796,0.963,0.912,0.916,0.96,0.858,0.918,0.933
"Write a 500-word story about Evan, an American tourist, who falls for Emilie, a barista, during a spring festival in Paris. They bond over their love for Claude Monet's 'Impression, Sunrise' and the Hotel de Sully's architecture, leading to walks along the Seine. Their connection deepens amid shared laughter and explorations of Le Marais:",0.639,0.949,0.723,0.661,0.717,0.811,0.957,0.842,0.748,0.793,0.927,0.928,0.905,0.955,0.911,0.91,0.944
"Write a 500-word story about Evan, an American tourist, who falls for Emilie, a barista, during a spring festival in Paris. They bond over their love for Claude Monet's 'Impression, Sunrise' and the Hotel de Sully's architecture, leading to walks along the Seine:",0.746,0.902,0.794,0.654,0.712,0.775,0.818,0.836,0.75,0.809,1.0,0.977,0.849,0.954,0.79,0.904,0.921
"Write a 500-word story about Evan, an American tourist, who falls for Emilie, a barista, during a spring festival in Paris. They bond over their love for Claude Monet's art and the city's architecture, leading to walks along the Seine:",0.578,0.914,0.729,0.666,0.741,0.661,0.803,0.686,0.724,0.684,0.971,0.957,0.789,0.971,0.857,0.884,0.926
"Write a 500-word story about Evan, an American tourist, who falls for Emilie, a barista, during a spring festival in Paris. They bond over their love for art and architecture, leading to walks along the Seine:",0.426,0.976,0.662,0.72,0.637,0.74,0.795,0.757,0.731,0.753,0.933,0.921,0.724,0.885,0.87,0.914,0.916
"Write a 500-word story about Evan, an American tourist, who falls for Emilie, a barista, during a spring festival in Paris:",0.583,0.955,0.787,0.726,0.774,0.728,0.787,0.749,0.677,0.724,0.98,0.937,0.77,0.944,0.838,0.886,0.93
"Write a 500-word story about Evan, an American tourist, who falls for Emilie, a barista, in Paris:",0.611,0.965,0.748,0.758,0.775,0.65,0.818,0.742,0.708,0.758,0.98,0.947,0.76,0.906,0.883,0.857,0.917
"Write a 500-word story about Evan, who falls for Emilie in Paris:",0.581,0.913,0.092,0.616,0.626,0.709,0.747,0.072,0.775,0.624,0.974,0.913,0.866,0.874,0.923,0.957,0.614
Write a 500-word story that takes place in Paris:,0.615,0.919,0.154,0.555,0.401,0.544,0.631,0.042,0.37,0.412,0.849,0.907,0.843,0.951,0.843,0.921,0.905
Write a 500-word story:,0.532,0.791,0.382,0.549,0.601,0.555,0.69,0.383,0.528,0.524,0.916,0.962,0.858,0.91,0.823,0.838,0.884
